site,microsite,tag,shrub gender,census,date,treatment,cover ,erodium,showy madia,schismus,bromus,recurved larkspur,lemmon jewel-flower,sand cress,amsinckia,Hordeum,Owls clover,pale-yellow layia,Lasthenia,Poa,Phacelia,total density,richness,native.density,exotic.density,native.richness,exotic.richness,prop.species.invaded,prop.density.invaded
2,Shrub,190,f,1,feb 4th,unclipped,2,2,1,0,0,0,0,4,0,0,0,0,0,0,0,7,3,5,2,2,1,0.333333333,0.285714286
2,Open,191,o,1,feb 4th,unclipped,35,75,1,50,0,0,0,0,0,0,0,0,0,0,0,126,3,1,125,1,2,0.666666667,0.992063492
2,Shrub,192,m,1,feb 4th,clipped,40,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,1,0,25,0,1,1,1
2,Open,193,o,1,feb 4th,clipped,30,0,0,80,0,20,0,0,0,0,0,0,0,0,0,100,2,20,80,1,1,0.5,0.8
2,Shrub,194,f,1,feb 4th,unclipped,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,1,0,25,0,1,1,1
2,Open,195,o,1,feb 4th,unclipped,15,5,0,65,0,0,0,0,0,0,0,0,0,0,0,70,2,0,70,0,2,1,1
2,Shrub,196,m,1,feb 4th,clipped,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,1,0,20,0,1,1,1
2,Open,197,o,1,feb 4th,clipped,15,20,0,60,0,0,0,0,0,0,0,0,0,0,0,80,2,0,80,0,2,1,1
2,Shrub,200,f,1,feb 4th,unclipped,20,33,0,40,0,3,0,0,0,0,0,0,0,0,0,76,3,3,73,1,2,0.666666667,0.960526316
2,Open, ,o,1,feb 4th,unclipped,25,20,0,70,0,0,0,0,0,0,0,0,0,0,0,90,2,0,90,0,2,1,1
3,Shrub,111,m,1,feb 4th,unclipped,50,25,0,105,0,0,0,0,0,0,0,0,0,0,0,130,2,0,130,0,2,1,1
3,Open,113,o,1,feb 4th,unclipped,40,150,0,45,0,0,0,0,0,28,0,0,0,0,0,223,3,28,195,1,2,0.666666667,0.874439462
3,Shrub,114,m,1,feb 4th,clipped,50,85,0,52,0,0,0,0,26,0,0,0,0,0,0,163,3,26,137,1,2,0.666666667,0.840490798
3,Open,116,o,1,feb 4th,clipped,30,80,0,25,0,0,0,0,8,25,0,0,0,0,0,138,4,33,105,2,2,0.5,0.760869565
3,Shrub,117,m,1,feb 4th,unclipped,50,72,0,8,8,0,0,2,0,0,0,0,0,0,0,90,4,2,88,1,3,0.75,0.977777778
3,Open,119,o,1,feb 4th,unclipped,20,45,6,15,0,0,0,3,0,0,0,0,0,0,0,69,4,9,60,2,2,0.5,0.869565217
3,Shrub,120,f,1,feb 4th,clipped,75,8,0,35,45,0,0,0,6,0,0,0,0,0,0,94,4,6,88,1,3,0.75,0.936170213
3,Open,122,o,1,feb 4th,clipped,50,112,28,7,0,0,0,1,0,0,0,0,0,0,0,148,4,29,119,2,2,0.5,0.804054054
3,Shrub,123,m,1,feb 4th,unclipped,20,10,6,0,0,0,0,15,0,0,0,0,0,0,0,31,3,21,10,2,1,0.333333333,0.322580645
3,Open,125,o,1,feb 4th,unclipped,30,108,8,2,0,0,0,0,0,0,0,0,0,0,0,118,3,8,110,1,2,0.666666667,0.93220339
3,Shrub,126,m,1,feb 4th,clipped,80,26,0,150,47,0,0,7,0,0,0,0,0,0,0,230,4,7,223,1,3,0.75,0.969565217
3,Open,128,o,1,feb 4th,clipped,90,200,0,10,0,0,0,10,0,0,0,0,0,0,0,220,3,10,210,1,2,0.666666667,0.954545455
4,Shrub,198,m,1,feb 4th,clipped,25,32,10,55,0,0,0,22,0,0,0,0,0,0,0,119,4,32,87,2,2,0.5,0.731092437
4,Open,129,o,1,feb 4th,clipped,10,33,0,0,0,0,0,10,0,0,0,0,0,0,0,43,2,10,33,1,1,0.5,0.76744186
4,Shrub,137,m,1,feb 4th,unclipped,25,12,4,10,0,0,0,2,0,0,0,0,0,0,0,28,4,6,22,2,2,0.5,0.785714286
4,Open,139,o,1,feb 4th,unclipped,40,22,4,57,0,0,0,0,0,0,0,0,0,0,0,83,3,4,79,1,2,0.666666667,0.951807229
4,Shrub,130,m,1,feb 4th,clipped,15,19,6,25,0,0,0,0,0,0,0,0,0,0,0,50,3,6,44,1,2,0.666666667,0.88
4,Open,132,o,1,feb 4th,clipped,40,44,3,65,0,0,0,0,0,0,0,0,0,0,0,112,3,3,109,1,2,0.666666667,0.973214286
4,Shrub,133,f,1,feb 4th,unclipped,5,26,4,16,0,0,0,0,0,0,0,0,0,0,0,46,3,4,42,1,2,0.666666667,0.913043478
4,Open,135,o,1,feb 4th,unclipped,55,111,4,89,0,0,0,0,0,0,0,0,0,0,0,204,3,4,200,1,2,0.666666667,0.980392157
4,Shrub,140,f,1,feb 4th,clipped,30,14,12,39,0,0,0,0,0,0,0,0,0,0,0,65,3,12,53,1,2,0.666666667,0.815384615
4,Open,142,o,1,feb 4th,clipped,35,16,4,53,0,0,0,0,0,0,0,0,0,0,0,73,3,4,69,1,2,0.666666667,0.945205479
4,Shrub,143,f,1,feb 4th,unclipped,15,14,3,20,2,0,0,0,0,0,0,0,0,0,0,39,4,3,36,1,3,0.75,0.923076923
4,Open,145,o,1,feb 4th,unclipped,15,26,1,12,0,0,0,0,0,0,0,0,0,0,0,39,3,1,38,1,2,0.666666667,0.974358974
5,Shrub,176,m,1,feb 4th,unclipped,40,20,0,54,0,0,0,0,0,0,0,0,0,0,0,74,2,0,74,0,2,1,1
5,Open,177,o,1,feb 4th,unclipped,30,19,1,0,0,4,0,0,0,0,0,0,0,0,0,24,3,5,19,2,1,0.333333333,0.791666667
5,Shrub,178,f,1,feb 4th,clipped,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,1,1,1
5,Open,179,o,1,feb 4th,clipped,70,65,2,0,0,0,0,0,0,0,0,0,0,0,0,67,2,2,65,1,1,0.5,0.970149254
5,Shrub,180,m,1,feb 4th,unclipped,75,29,5,0,0,0,0,10,0,0,3,0,0,0,0,47,4,18,29,3,1,0.25,0.617021277
5,Open,181,o,1,feb 4th,unclipped,80,47,1,0,0,0,0,3,0,0,0,0,0,0,0,51,3,4,47,2,1,0.333333333,0.921568627
5,Shrub,182,f,1,feb 4th,clipped,11,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,1,15,0,1,0,0,0
5,Open,183,o,1,feb 4th,clipped,65,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4,2,2,2,2,0.5,0.5
5,Shrub,184,f,1,feb 4th,unclipped,5,5,1,0,0,1,0,2,0,0,0,0,0,0,0,9,4,4,5,3,1,0.25,0.555555556
5,Open,185,o,1,feb 4th,unclipped,80,75,0,10,0,0,0,0,0,0,0,0,0,0,0,85,2,0,85,0,2,1,1
5,Shrub,186,f,1,feb 4th,clipped,50,40,0,10,0,0,0,0,0,0,0,0,0,0,0,50,2,0,50,0,2,1,1
5,Open,187,o,1,feb 4th,clipped,30,25,0,5,0,1,0,0,0,0,0,0,0,0,0,31,3,1,30,1,2,0.666666667,0.967741935
6,Shrub,164,m,1,feb 4th,unclipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,165,o,1,feb 4th,unclipped,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,13,0,1,1,1
6,Shrub,166,m,1,feb 4th,clipped,20,12,0,0,1,0,0,0,0,0,1,0,0,0,0,14,3,1,13,1,2,0.666666667,0.928571429
6,Open,167,o,1,feb 4th,clipped,2,0,8,0,1,0,0,0,0,0,2,0,0,0,0,11,3,10,1,2,1,0.333333333,0.090909091
6,Shrub,168,m,1,feb 4th,unclipped,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,2,5,1,1,0.5,0.714285714
6,Open,169,o,1,feb 4th,unclipped,5,7,0,0,0,0,0,0,0,0,2,0,0,0,0,9,2,2,7,1,1,0.5,0.777777778
6,Shrub,170,m,1,feb 4th,clipped,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,3,1,1,0.5,0.75
6,Open,171,o,1,feb 4th,clipped,5,20,0,0,0,2,0,0,0,0,0,0,0,0,0,22,2,2,20,1,1,0.5,0.909090909
6,Shrub,172,m,1,feb 4th,unclipped,30,20,6,1,0,0,0,0,0,0,5,0,0,0,0,32,4,11,21,2,2,0.5,0.65625
6,Open,173,o,1,feb 4th,unclipped,20,17,2,2,0,0,0,0,0,0,1,0,0,0,0,22,4,3,19,2,2,0.5,0.863636364
6,Shrub,174,m,1,feb 4th,clipped,30,12,0,0,0,0,0,0,0,0,3,0,0,0,0,15,2,3,12,1,1,0.5,0.8
6,Open,175,o,1,feb 4th,clipped,45,25,0,0,0,0,0,0,0,0,5,0,0,0,0,30,2,5,25,1,1,0.5,0.833333333
1,Shrub,147,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,148,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,149,f,2,march 3rd,unclipped,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,2,4,1,1,1,0.5,0.2
1,Open,151,o,2,march 3rd,unclipped,20,58,0,3,0,6,0,0,0,0,0,0,0,0,0,67,3,6,61,1,2,0.666666667,0.910447761
1,Shrub,152,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,154,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,155,f,2,march 3rd,unclipped,1,15,0,0,15,0,0,0,0,0,0,0,0,0,0,30,2,0,30,0,2,1,1
1,Open,157,o,2,march 3rd,unclipped,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,21,0,1,1,1
1,Shrub,158,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,160,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,161,f,2,march 3rd,unclipped,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,1
1,Open,163,o,2,march 3rd,unclipped,60,35,0,7,0,0,0,0,0,0,0,0,0,0,0,42,2,0,42,0,2,1,1
2,Shrub,188,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Open,189,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,190,f,2,march 3rd,unclipped,2,10,0,10,3,0,0,0,0,0,0,0,0,0,0,23,3,0,23,0,3,1,1
2,Open,191,o,2,march 3rd,unclipped,35,91,0,0,0,0,0,0,0,0,0,15,0,0,0,106,2,15,91,1,1,0.5,0.858490566
2,Shrub,192,m,2,march 3rd,clipped,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,1,0,21,0,1,1,1
2,Open,193,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,194,f,2,march 3rd,unclipped,5,0,20,0,0,0,0,0,0,57,0,20,0,0,0,97,3,97,0,3,0,0,0
2,Open,195,o,2,march 3rd,unclipped,15,4,0,10,0,0,0,0,0,100,0,28,0,0,0,142,4,128,14,2,2,0.5,0.098591549
2,Shrub,196,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Open,197,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,200,f,2,march 3rd,unclipped,20,45,0,33,5,0,0,0,0,10,0,3,0,0,0,96,5,13,83,2,3,0.6,0.864583333
2,Open,WASHER,o,2,march 3rd,unclipped,25,35,0,0,0,0,0,0,0,22,0,15,0,0,0,72,3,37,35,2,1,0.333333333,0.486111111
3,Shrub,111,m,2,march 3rd,unclipped,50,50,0,0,0,0,0,0,0,0,3,0,0,0,0,53,2,3,50,1,1,0.5,0.943396226
3,Open,113,o,2,march 3rd,unclipped,40,105,0,10,40,0,0,0,0,0,0,0,0,0,0,155,3,0,155,0,3,1,1
3,Shrub,114,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,116,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shrub,117,m,2,march 3rd,unclipped,50,51,0,150,10,0,0,0,0,0,0,0,0,0,0,211,3,0,211,0,3,1,1
3,Open,119,o,2,march 3rd,unclipped,20,45,0,10,1,0,0,0,0,0,0,0,0,0,0,56,3,0,56,0,3,1,1
3,Shrub,120,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,122,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shrub,123,m,2,march 3rd,unclipped,20,35,3,5,4,0,0,0,0,0,0,0,0,0,0,47,4,3,44,1,3,0.75,0.936170213
3,Open,125,o,2,march 3rd,unclipped,30,55,27,0,12,0,0,0,0,0,0,0,0,0,0,94,3,27,67,1,2,0.666666667,0.712765957
3,Shrub,126,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,128,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,198,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,129,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,137,m,2,march 3rd,unclipped,25,12,0,55,0,0,1,2,5,0,0,0,0,0,0,75,5,8,67,3,2,0.4,0.893333333
4,Open,139,o,2,march 3rd,unclipped,40,70,0,100,0,0,0,0,3,0,0,0,0,0,0,173,3,3,170,1,2,0.666666667,0.98265896
4,Shrub,130,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,132,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,133,f,2,march 3rd,unclipped,5,25,0,25,0,0,0,10,0,0,0,0,0,0,0,60,3,10,50,1,2,0.666666667,0.833333333
4,Open,135,o,2,march 3rd,unclipped,55,60,0,6,0,0,0,0,0,0,0,0,0,0,0,66,2,0,66,0,2,1,1
4,Shrub,141,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,142,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,143,f,2,march 3rd,unclipped,15,25,0,120,0,0,0,0,0,0,0,0,0,0,0,145,2,0,145,0,2,1,1
4,Open,145,o,2,march 3rd,unclipped,15,30,0,41,0,0,0,0,0,1,0,0,0,0,0,72,3,1,71,1,2,0.666666667,0.986111111
5,Shrub,176,m,2,march 3rd,unclipped,40,75,0,24,26,0,0,0,0,0,0,0,0,0,0,125,3,0,125,0,3,1,1
5,Open,177,o,2,march 3rd,unclipped,30,76,0,0,0,2,0,0,0,0,0,0,0,0,0,78,2,2,76,1,1,0.5,0.974358974
5,Shrub,178,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Open,179,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Shrub,180,m,2,march 3rd,unclipped,75,50,0,4,6,0,0,0,0,1,0,0,0,0,0,61,4,1,60,1,3,0.75,0.983606557
5,Open,181,o,2,march 3rd,unclipped,80,75,0,0,0,0,0,0,0,15,0,0,0,0,0,90,2,15,75,1,1,0.5,0.833333333
5,Shrub,182,f,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Open,183,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Shrub,184,f,2,march 3rd,unclipped,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,3,0,1,0,0,0
5,Open,185,o,2,march 3rd,unclipped,80,60,0,16,12,0,0,0,0,0,0,0,0,0,0,88,3,0,88,0,3,1,1
5,Shrub,186,f,2,march 3rd,clipped,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1,0,10,0,1,1,1
5,Open,187,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,164,m,2,march 3rd,unclipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,165,o,2,march 3rd,unclipped,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,1,19,1,1,0.5,0.95
6,Shrub,166,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,167,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,168,m,2,march 3rd,unclipped,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,2,0,1,0,0,0
6,Open,169,o,2,march 3rd,unclipped,5,1,0,0,0,1,0,0,0,11,0,0,0,0,0,13,3,12,1,2,1,0.333333333,0.076923077
6,Shrub,170,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,171,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Shrub,172,m,2,march 3rd,unclipped,30,29,0,0,0,0,0,13,0,45,0,0,0,0,0,87,3,58,29,2,1,0.333333333,0.333333333
6,Open,173,o,2,march 3rd,unclipped,20,15,0,0,0,0,0,0,0,25,0,0,0,0,0,40,2,25,15,1,1,0.5,0.375
6,Shrub,174,m,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Open,175,o,2,march 3rd,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,147,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,148,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,149,f,3,april 1st,unclipped,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,10,2,0,10,0,2,1,1
1,Open,151,o,3,april 1st,unclipped,20,50,0,6,0,0,0,0,0,0,0,0,58,0,0,114,3,58,56,1,2,0.666666667,0.49122807
1,Shrub,152,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,154,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,155,f,3,april 1st,unclipped,1,12,0,4,6,0,0,0,0,0,0,0,0,0,0,22,3,0,22,0,3,1,1
1,Open,157,o,3,april 1st,unclipped,20,17,0,15,0,0,0,0,0,0,0,0,48,0,0,80,3,48,32,1,2,0.666666667,0.4
1,Shrub,158,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open,160,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Shrub,161,f,3,april 1st,unclipped,5,14,0,0,0,0,0,0,0,0,0,0,3,0,0,17,2,3,14,1,1,0.5,0.823529412
1,Open,163,o,3,april 1st,unclipped,60,23,0,6,0,0,0,0,0,0,0,0,27,0,0,56,3,27,29,1,2,0.666666667,0.517857143
2,Shrub,188,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Open,189,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,190,f,3,april 1st,unclipped,2,22,0,0,0,0,0,0,0,0,0,1,17,0,0,40,3,18,22,2,1,0.333333333,0.55
2,Open,191,o,3,april 1st,unclipped,35,28,12,0,8,2,0,0,0,0,0,0,115,0,0,165,5,129,36,3,2,0.4,0.218181818
2,Shrub,192,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Open,193,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,194,f,3,april 1st,unclipped,5,8,0,0,4,0,0,0,0,0,0,0,89,0,0,101,3,89,12,1,2,0.666666667,0.118811881
2,Open,195,o,3,april 1st,unclipped,15,2,0,2,0,0,0,0,0,0,0,0,44,0,0,48,3,44,4,1,2,0.666666667,0.083333333
2,Shrub,196,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,1,0,0,0
2,Open,197,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shrub,200,f,3,april 1st,unclipped,20,30,0,32,0,0,0,0,0,8,0,2,32,0,0,104,5,42,62,3,2,0.4,0.596153846
2,Open, ,o,3,april 1st,unclipped,25,32,0,0,0,0,0,0,0,0,0,0,103,0,9,144,3,112,32,2,1,0.333333333,0.222222222
3,Shrub,111,m,3,april 1st,unclipped,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,113,o,3,april 1st,unclipped,40,15,0,0,46,0,0,0,1,0,0,12,7,0,0,81,5,20,61,3,2,0.4,0.75308642
3,Shrub,114,m,3,april 1st,clipped,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
3,Open,116,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shrub,117,m,3,april 1st,unclipped,50,33,0,38,0,0,0,0,0,0,0,0,0,0,0,71,2,0,71,0,2,1,1
3,Open,119,o,3,april 1st,unclipped,20,44,0,3,0,0,0,0,3,0,1,19,0,0,0,70,5,23,47,3,2,0.4,0.671428571
3,Shrub,120,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,122,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Shrub,123,m,3,april 1st,unclipped,20,7,0,0,14,0,0,0,2,0,0,0,0,0,0,23,3,2,21,1,2,0.666666667,0.913043478
3,Open,125,o,3,april 1st,unclipped,30,40,0,0,0,0,0,0,15,0,0,4,0,0,0,59,3,19,40,2,1,0.333333333,0.677966102
3,Shrub,126,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Open,128,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,198,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,129,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,137,m,3,april 1st,unclipped,25,3,0,24,12,0,0,0,2,0,0,0,0,0,0,41,4,2,39,1,3,0.75,0.951219512
4,Open,139,o,3,april 1st,unclipped,40,10,0,30,0,0,0,0,5,0,0,0,0,0,1,46,4,6,40,2,2,0.5,0.869565217
4,Shrub,130,m,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,132,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,133,f,3,april 1st,unclipped,5,15,0,15,17,0,0,0,2,0,0,0,0,0,0,49,4,2,47,1,3,0.75,0.959183673
4,Open,135,o,3,april 1st,unclipped,55,40,0,6,0,0,0,0,0,0,0,0,0,0,0,46,2,0,46,0,2,1,1
4,Shrub,141,f,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Open,142,o,3,april 1st,clipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Shrub,143,f,3,april 1st,unclipped,15,10,0,0,33,0,0,0,0,0,0,0,0,0,0,43,2,0,43,0,2,1,1
4,Open,145,o,3,april 1st,unclipped,15,42,0,29,0,0,0,0,0,0,0,0,0,0,0,71,2,0,71,0,2,1,1
