site,microsite,tag#,shrub gender,census,date,treatment,% cover ,SWC
1,Open,148,o,4,may 21st,clipped,20,0
1,Shrub,149,f,4,may 21st,unclipped,1,0
1,Open,151,o,4,may 21st,unclipped,20,0
1,Shrub,152,f,4,may 21st,clipped,10,0
1,Open,154,o,4,may 21st,clipped,30,0
1,Shrub,155,f,4,may 21st,unclipped,1,0
1,Open,157,o,4,may 21st,unclipped,20,0
1,Shrub,158,f,4,may 21st,clipped,0,0
1,Open,160,o,4,may 21st,clipped,25,0
1,Shrub,161,f,4,may 21st,unclipped,5,0
1,Open,163,o,4,may 21st,unclipped,60,0
2,Shrub,188,f,4,may 21st,clipped,2,0
2,Open,189,o,4,may 21st,clipped,30,0
2,Shrub,190,f,4,may 21st,unclipped,2,0
2,Open,191,o,4,may 21st,unclipped,35,0
2,Shrub,192,m,4,may 21st,clipped,40,0
2,Open,193,o,4,may 21st,clipped,30,0
2,Shrub,194,f,4,may 21st,unclipped,5,0
2,Open,195,o,4,may 21st,unclipped,15,0
2,Shrub,196,m,4,may 21st,clipped,5,0
2,Open,197,o,4,may 21st,clipped,15,0
2,Shrub,200,f,4,may 21st,unclipped,20,0
2,Open,WASHER,o,4,may 21st,unclipped,25,0
3,Shrub,111,m,4,may 21st,unclipped,50,0.4
3,Open,113,o,4,may 21st,unclipped,40,0
3,Shrub,114,m,4,may 21st,clipped,50,0.2
3,Open,116,o,4,may 21st,clipped,30,0
3,Shrub,117,m,4,may 21st,unclipped,50,0
3,Open,119,o,4,may 21st,unclipped,20,0
3,Shrub,120,f,4,may 21st,clipped,75,0
3,Open,122,o,4,may 21st,clipped,50,0
3,Shrub,123,m,4,may 21st,unclipped,20,0
3,Open,125,o,4,may 21st,unclipped,30,0.2
3,Shrub,126,m,4,may 21st,clipped,80,0
3,Open,128,o,4,may 21st,clipped,90,2.6
4,Shrub,198,m,4,may 21st,clipped,25,1.1
4,Open,129,o,4,may 21st,clipped,10,0
4,Shrub,137,m,4,may 21st,unclipped,25,2.4
4,Open,139,o,4,may 21st,unclipped,40,0.6
4,Shrub,130,m,4,may 21st,clipped,15,2.5
4,Open,132,o,4,may 21st,clipped,40,1.2
4,Shrub,133,f,4,may 21st,unclipped,5,0
4,Open,135,o,4,may 21st,unclipped,55,2.7
4,Shrub,140,f,4,may 21st,clipped,30,0
4,Open,142,o,4,may 21st,clipped,35,0.6
4,Shrub,143,f,4,may 21st,unclipped,15,0
4,Open,145,o,4,may 21st,unclipped,15,0
5,Shrub,176,m,4,may 21st,unclipped,40,5.8
5,Open,177,o,4,may 21st,unclipped,30,3.2
5,Shrub,178,f,4,may 21st,clipped,5,2.1
5,Open,179,o,4,may 21st,clipped,70,4.4
5,Shrub,180,m,4,may 21st,unclipped,75,1
5,Open,181,o,4,may 21st,unclipped,80,4
5,Shrub,182,f,4,may 21st,clipped,11,3.2
5,Open,183,o,4,may 21st,clipped,65,7.4
5,Shrub,184,f,4,may 21st,unclipped,5,2.3
5,Open,185,o,4,may 21st,unclipped,80,2
5,Shrub,186,f,4,may 21st,clipped,50,1.4
5,Open,187,o,4,may 21st,clipped,30,2.6
6,Shrub,164,m,4,may 21st,unclipped,0,1.4
6,Open,165,o,4,may 21st,unclipped,5,5.6
6,Shrub,166,m,4,may 21st,clipped,20,1
6,Open,167,o,4,may 21st,clipped,2,2.2
6,Shrub,168,m,4,may 21st,unclipped,2,5
6,Open,169,o,4,may 21st,unclipped,5,3.6
6,Shrub,170,m,4,may 21st,clipped,5,0
6,Open,171,o,4,may 21st,clipped,5,0.2
6,Shrub,172,m,4,may 21st,unclipped,30,1
6,Open,173,o,4,may 21st,unclipped,20,3.6
6,Shrub,174,m,4,may 21st,clipped,30,1.8
6,Open,175,o,4,may 21st,clipped,45,0
