"","month","microsite","site","temp","smc","statistic"
"67",2,"shrub",1,32.7454137931035,0.178772413793103,"max"
"68",3,"shrub",1,36.7365806451613,0.183996774193548,"max"
"69",4,"shrub",1,48.2183333333333,0.12115,"max"
"70",5,"shrub",1,52.5802105263158,0.0815526315789474,"max"
"71",2,"open",2,30.8420689655172,0.20018275862069,"max"
"72",3,"open",2,33.4592580645161,0.237577419354839,"max"
"73",4,"open",2,37.8152333333333,0.144853333333333,"max"
"74",5,"open",2,40.5468421052632,0.0922526315789474,"max"
"75",2,"shrub",2,29.0658275862069,0.220841379310345,"max"
"76",3,"shrub",2,30.1076774193548,0.282190322580645,"max"
"77",4,"shrub",2,36.3077,0.23122,"max"
"78",5,"shrub",2,38.5846842105263,0.188789473684211,"max"
"79",2,"open",5,31.2155172413793,0.142848275862069,"max"
"80",3,"open",5,31.1506451612903,0.201267741935484,"max"
"81",4,"open",5,36.0339285714286,0.151835714285714,"max"
"82",5,"open",5,37.1122222222222,-0.268827777777778,"max"
"83",2,"shrub",5,34.2593103448276,0.0795896551724138,"max"
"84",3,"shrub",5,32.8396774193548,0.160229032258065,"max"
"85",4,"shrub",5,37.7325,0.0910535714285714,"max"
"86",2,"open",6,33.9458620689655,0.136551724137931,"max"
"87",3,"open",6,31.0464516129032,0.213151612903226,"max"
"88",4,"open",6,36.3563333333333,0.12232,"max"
"89",5,"open",6,37.2564705882353,0.0675235294117647,"max"
"90",2,"shrub",6,33.6496551724138,0.080851724137931,"max"
"91",3,"shrub",6,36.0987096774194,0.108464516129032,"max"
"92",4,"shrub",6,43.4013333333333,0.03814,"max"
"93",5,"shrub",6,44.7070588235294,-0.0147941176470588,"max"
"94",2,"open",1,2.44096551724138,0.0903172413793103,"min"
"95",3,"open",1,1.47461290322581,0.128258064516129,"min"
"96",4,"open",1,3.98416666666667,0.10092,"min"
"97",5,"open",1,7.09926315789474,0.0587631578947368,"min"
"98",2,"shrub",1,2.61789655172414,0.0699172413793104,"min"
"99",3,"shrub",1,1.72893548387097,0.104096774193548,"min"
"100",4,"shrub",1,4.3204,0.0586966666666667,"min"
"101",5,"shrub",1,7.34894736842105,0.0230578947368421,"min"
"102",2,"open",2,3.42803448275862,0.178451724137931,"min"
"103",3,"open",2,1.98051612903226,0.220870967741935,"min"
"104",4,"open",2,4.1759,0.120983333333333,"min"
"105",5,"open",2,7.43742105263158,0.0639684210526316,"min"
"106",2,"shrub",2,3.305,0.19461724137931,"min"
"107",3,"shrub",2,1.59045161290323,0.268538709677419,"min"
"108",4,"shrub",2,3.7734,0.21672,"min"
"109",5,"shrub",2,7.22273684210526,0.175352631578947,"min"
"110",2,"open",5,4.95827586206897,0.115079310344828,"min"
"111",3,"open",5,4.77354838709677,0.18568064516129,"min"
"112",4,"open",5,6.8525,0.114985714285714,"min"
"113",5,"open",5,17.4833333333333,-0.4231,"min"
"114",2,"shrub",5,4.90724137931034,0.041,"min"
"115",3,"shrub",5,5.00870967741935,0.128332258064516,"min"
"116",4,"shrub",5,7.2375,0.0642785714285714,"min"
"117",2,"open",6,5.07862068965517,0.110644827586207,"min"
"118",3,"open",6,5.86709677419355,0.186035483870968,"min"
"119",4,"open",6,7.65366666666667,0.101843333333333,"min"
"120",5,"open",6,10.3352941176471,0.0339470588235294,"min"
"121",2,"shrub",6,5.79413793103448,0.0468275862068966,"min"
"122",3,"shrub",6,5.74096774193548,0.0493774193548387,"min"
"123",4,"shrub",6,7.48366666666667,-0.000653333333333333,"min"
"124",5,"shrub",6,9.06882352941176,-0.0471411764705882,"min"
"125",2,"open",1,11.5902839020648,0.10501330018028,"SD"
"126",3,"open",1,11.5612459146726,0.0713162682071499,"SD"
"127",4,"open",1,13.2883052715704,0.0470929238157594,"SD"
"128",5,"open",1,14.2651377612639,0.0148530559878159,"SD"
"129",2,"shrub",1,10.7133635686301,0.0990244960110872,"SD"
"130",3,"shrub",1,11.9699555593759,0.0695776688567218,"SD"
"131",4,"shrub",1,14.8471648245945,0.0507598000286319,"SD"
"132",5,"shrub",1,15.0132963481482,0.0198671362027733,"SD"
"133",2,"open",2,10.7297255992804,0.116032323042928,"SD"
"134",3,"open",2,11.314393901203,0.0519885435091561,"SD"
"135",4,"open",2,12.0529446855959,0.0485602262240596,"SD"
"136",5,"open",2,11.7031668911108,0.0113947968488717,"SD"
"137",2,"shrub",2,10.1604530709945,0.184405483796691,"SD"
"138",3,"shrub",2,10.6191551991963,0.042398246173423,"SD"
"139",4,"shrub",2,12.0485666300203,0.0454064530712232,"SD"
"140",5,"shrub",2,11.4745966755531,0.0183755829301909,"SD"
"141",2,"open",5,9.65452954536738,0.0850759580232218,"SD"
"142",3,"open",5,9.75856182149098,0.0455558442263926,"SD"
"143",4,"open",5,10.7682276895283,0.0454858973156762,"SD"
"144",5,"open",5,9.62642730072338,0.0646405777303796,"SD"
"145",2,"shrub",5,10.8792742649974,0.0800129039796329,"SD"
"146",3,"shrub",5,10.0050881450298,0.0799461158927101,"SD"
"147",4,"shrub",5,10.8266623850126,0.026978852497093,"SD"
"148",2,"open",6,10.3161527499932,0.0954021663124927,"SD"
"149",3,"open",6,9.3800898071747,0.0813893616777511,"SD"
"150",4,"open",6,10.0562250168728,0.0351489526648423,"SD"
"151",5,"open",6,10.3595392291784,0.078798193709239,"SD"
"152",2,"shrub",6,10.5704996952835,0.0522734465155849,"SD"
"153",3,"shrub",6,11.3033877433803,0.0825718880019819,"SD"
"154",4,"shrub",6,12.5708325007464,0.0595649761483828,"SD"
"155",5,"shrub",6,12.8311581925627,0.0128422128112995,"SD"
